recno,Name,Date,Time,RAdeg,DEdeg,length,angle,sigma,mag,snr,seeing,Inst,Filter,ExpTime,predRA,predDE,preda,predb,predlength,predangle,predmag,predsn, , ,"""Y:M:D""", ,deg,deg,arcsec,deg,arcsec,mag, ,arcsec, , ,s,deg,deg,arcsec,arcsec,arcsec,deg,mag
1,2014KP84 ,23-11-2011,1-45-39,340.5432617,-26.1106935,3.26114523,75.54889706,0.71742783,21.69558062,7.61339567,1.540415801,ESO-VST/OMEGACAM,OCAM_g_SDSS,50,340.5433333,-26.11070833,1.624,1.716,3.354122966,92.303,20.799,16.90458556,,,,,,,,,,,,,,,,,,,,,,
2,2021WO   ,23-11-2011,0-48-29,323.4082321,-26.20665983,3.97741197,177.7675845,0.38764488,21.95795249,9.121898224,0.827850585,ESO-VST/OMEGACAM,OCAM_g_SDSS,50,323.403625,-26.20397222,138.407,90.932,4.200021,104.396,21.447,13.82985107,,,,,,,,,,,,,,,,,,,,,,
3,2013JT22 ,26-11-2011,2-43-22,352.6622062,-26.96969396,5.10964713,156.6336749,0.23206491,19.12128424,19.05370282,0.722082212,ESO-VST/OMEGACAM,OCAM_i_SDSS,45,352.6627083,-26.96963889,5.149,0.676,5.758493019,95.172,19.02,18.55994706,,,,,,,,,,,,,,,,,,,,,,
4,2013JT22 ,26-11-2011,2-44-49,352.6650993,-26.96866793,5.3975376,157.009306,0.37231572,19.02290189,17.1690277,0.83055521,ESO-VST/OMEGACAM,OCAM_i_SDSS,45,352.6656667,-26.96858333,5.149,0.676,5.75849302,95.172,19.02,16.13596238,,,,,,,,,,,,,,,,,,,,,,
5,2011SR26 ,27-09-2011,07-07-2002,3.826052271,-28.44800502,5.44051809,82.32790451,0.69073914,20.58914487,16.51864563,0.790956078,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,3.826041667,-28.44819444,2.275,6.646,5.531747674,96.679,20.804,13.3294408,,,,,,,,,,,,,,,,,,,,,,
6,2011SR26 ,27-09-2011,07-08-1930,3.826628396,-28.45093403,5.33538873,77.13965709,0.62187111,20.56165718,12.84868719,1.063499561,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,3.826645833,-28.45111111,2.277,6.647,5.501157246,96.68,20.804,9.968625815,,,,,,,,,,,,,,,,,,,,,,
7,2020PV65 ,04-09-2011,4-57-51,11.3044015,-24.96589301,3.29278593,96.97293494,0.37902963,21.12954412,32.30239723,0.812529442,ESO-VST/OMEGACAM,OCAM_r_SDSS,180,11.30520833,-24.965875,4.551,0.414,3.551077181,94.562,20.952,35.27429614,,,,,,,,,,,,,,,,,,,,,,
8,2020PV65 ,04-09-2011,05-01-1936,11.30426314,-24.96707704,3.52926546,102.678506,0.4120956,21.22798116,28.84416646,0.775390047,ESO-VST/OMEGACAM,OCAM_r_SDSS,180,11.305,-24.96706944,4.551,0.414,3.551077181,94.562,20.952,36.96385357,,,,,,,,,,,,,,,,,,,,,,
9,2011OV18 ,24-01-2012,7-14-13,128.4793139,-39.13071901,3.46062591,23.44594864,0.48045816,21.46819277,9.80192727,0.977917892,ESO-VST/OMEGACAM,OCAM_u_SDSS,150,128.4792292,-39.13076389,1.029,0.611,4.117362375,91.029,20.351,23.05294217,,,,,,,,,,,,,,,,,,,,,,
10,2012FX23 ,22-03-2012,4-53-20,187.6253663,-6.275854475,6.23564886,146.6451871,1.06360569,20.81024709,9.072875034,1.02494272,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,187.6247917,-6.276125,9.216,5.65,7.156137265,100.663,20.858,7.565681035,,,,,,,,,,,,,,,,,,,,,,
11,2012FX23 ,22-03-2012,4-54-46,187.6284867,-6.274360124,7.32277896,148.7979041,3.07356693,20.86853898,7.722307467,0.971821279,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,187.628,-6.274097222,9.205,5.644,7.156137265,100.651,20.858,7.979234318,,,,,,,,,,,,,,,,,,,,,,
12,2008EC85 ,21-09-2012,2-29-37,330.5976296,-11.68050283,3.76712595,113.0997488,0.63248304,21.19937565,16.98907472,0.633132903,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,330.5975,-11.68047222,2.257,1.488,3.716201835,92.592,20.972,21.23407211,,,,,,,,,,,,,,,,,,,,,,
13,2013LH25 ,26-09-2012,01-01-1958,6.231231876,-33.97992995,3.47396196,135.281065,0.31926132,21.3843677,9.244040644,0.628834005,ESO-VST/OMEGACAM,OCAM_i_SDSS,240,6.231291667,-33.97991667,1.515,0.701,3.720236048,91.518,21.361,8.819946299,,,,,,,,,,,,,,,,,,,,,,
14,2013TN4  ,08-10-2013,0-46-22,353.0373184,-23.36564372,8.5493919,28.97527784,0.65191371,20.73396432,9.272472736,0.784708743,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,353.0371042,-23.365625,1.592,1.486,9.303380608,91.609,20.407,11.51533857,,,,,,,,,,,,,,,,,,,,,,
15,2013UK5  ,09-10-2013,2-59-40,4.755333425,-14.61042373,3.48621672,162.3417096,0.37935744,20.31391538,5.880327258,1.143269478,ESO-VST/OMEGACAM,OCAM_i_SDSS,45,4.748,-14.61247222,105.519,41.893,3.395606369,162.699,19.937,8.542940422,,,,,,,,,,,,,,,,,,,,,,
16,2013UK5  ,09-10-2013,03-01-2010,4.757138124,-14.60996901,3.23944761,163.1850462,1.84668036,20.65484717,5.397139354,0.979258121,ESO-VST/OMEGACAM,OCAM_i_SDSS,45,4.749833333,-14.61202778,105.505,41.887,3.395606369,162.713,19.937,9.973757506,,,,,,,,,,,,,,,,,,,,,,
17,2013UU1  ,09-10-2013,3-46-27,359.2264455,-17.87660443,3.55780698,174.1544951,0.54283131,20.79072478,18.12004645,0.915784752,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,359.2263958,-17.87670833,4.887,3.795,3.151607902,95.711,20.082,39.29183539,,,,,,,,,,,,,,,,,,,,,,
18,2013ES11 ,18-02-2013,7-22-02,180.8381541,1.803403747,3.20543349,14.87845343,1.40853762,21.71807246,36.58213506,0.606157109,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,180.8381042,1.803361111,2.668,0.928,3.250021,92.802,21.751,35.00269152,,,,,,,,,,,,,,,,,,,,,,
19,2013ES11 ,18-02-2013,7-28-46,180.8390377,1.802048337,3.28087977,10.31112037,0.33299091,21.71839175,35.11701625,0.616744637,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,180.8391042,1.803111111,2.669,0.928,3.250021,92.803,21.75,34.43350733,,,,,,,,,,,,,,,,,,,,,,
20,2013ES11 ,18-02-2013,7-42-14,180.8431733,1.802665045,2.94907305,15.74310404,0.51231243,21.69787844,41.66038952,0.589399514,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,180.8410833,1.802638889,2.671,0.927,3.395606369,92.805,21.749,34.51799626,,,,,,,,,,,,,,,,,,,,,,
21,2013HO   ,03-04-2013,2-22-16,169.9582427,-63.24248519,4.90845705,117.6035982,0.49856205,21.11142394,8.794630663,1.357161621,ESO-VST/OMEGACAM,OCAM_g_SDSS,40,169.9604792,-63.24043056,9.345,16.297,6.068999497,108.454,20.887,8.7461431,,,,,,,,,,,,,,,,,,,,,,
22,2013HO   ,03-04-2013,2-35-59,169.98427,-63.22016966,2.99861289,116.8842496,0.42549297,20.19408851,25.60907677,0.992748016,ESO-VST/OMEGACAM,OCAM_r_SDSS,25,169.9866042,-63.21808333,9.362,16.307,3.725943704,108.474,20.445,16.35746085,,,,,,,,,,,,,,,,,,,,,,
23,2013EK28 ,20-05-2013,7-00-05,229.9681414,0.985524678,3.7651488,53.09576969,0.66119676,22.39768851,11.47725064,0.879578473,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,229.968125,0.985472222,1.071,1.018,3.687838783,91.071,22.096,15.47126975,,,,,,,,,,,,,,,,,,,,,,
24,2013EK28 ,20-05-2013,07-03-1949,229.9689349,0.98451423,4.2448959,52.4168147,1.44651549,22.12683361,12.46258939,0.92206435,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,229.9689583,0.984486111,1.072,1.019,3.764327045,91.072,22.096,14.45852027,,,,,,,,,,,,,,,,,,,,,,
25,2013EK28 ,20-05-2013,07-07-1934,229.9697899,0.983566794,3.58655031,51.43230133,0.69638709,22.40283578,9.868242589,1.068855383,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,229.9697917,0.9835,1.072,1.019,3.687838783,91.072,22.097,12.71983863,,,,,,,,,,,,,,,,,,,,,,
26,2015VD66 ,27-06-2013,1-39-18,186.7920806,1.999857869,8.98921338,66.42677871,0.4656603,22.08983839,6.283707175,0.893505069,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,186.7922083,1.999625,1.055,1.614,9.352026133,91.917,21.434,11.05015188,,,,,,,,,,,,,,,,,,,,,,
27,2014AJ51 ,06-01-2014,6-57-33,157.2473214,-12.07075218,13.59560013,131.3077746,0.74692128,20.37979879,4.253934085,1.490446371,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,157.2461458,-12.07186111,7.642,7.845,8.875971653,100.69,20.36,6.635807481,,,,,,,,,,,,,,,,,,,,,,
28,2014FS37 ,15-03-2014,3-35-53,192.8014306,-14.39238824,4.23695433,178.6342405,0.34880391,20.28190855,7.585452019,0.751055397,ESO-VST/OMEGACAM,OCAM_i_SDSS,45,192.8016875,-14.39218056,4.467,4.174,3.486064603,95.774,20.455,7.860783847,,,,,,,,,,,,,,,,,,,,,,
29,2014GT34 ,27-03-2014,08-11-2025,215.838979,-9.945056992,6.62886924,144.9102136,1.6538067,18.72169425,47.72145742,1.254856779,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,215.8394167,-9.945333333,5.212,2.551,6.963497143,95.266,18.777,43.17225739,,,,,,,,,,,,,,,,,,,,,,
30,2014HT190,21-04-2014,2-49-55,212.6020565,-1.892818821,5.79304593,84.87424355,0.46887582,22.8985166,4.298266041,0.962416588,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,212.6012708,-1.892930556,3.378,5.751,3.751354096,95.882,23.669,3.264534599,,,,,,,,,,,,,,,,,,,,,,
31,2014HQ178,22-04-2014,02-12-2000,181.6841927,2.586355613,8.0698422,81.57297532,0.38461395,21.74272726,16.86961124,0.510398023,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,181.6843958,2.583986111,5.816,10.187,8.211750416,100.225,21.01,32.55565145,,,,,,,,,,,,,,,,,,,,,,
32,2014HQ178,22-04-2014,2-18-44,181.6846247,2.583836234,8.1168234,79.71498778,0.42740859,21.7600723,12.08666323,0.697025341,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,181.6848125,2.581458333,5.803,10.175,8.211750416,100.213,21.011,23.81698627,,,,,,,,,,,,,,,,,,,,,,
33,2014HQ178,22-04-2014,2-57-04,181.6870179,2.569385032,8.15347008,82.30240789,0.85941975,21.78431469,12.78954121,0.641278504,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,181.6871875,2.567013889,5.728,10.104,8.211750416,100.145,21.012,25.86358312,,,,,,,,,,,,,,,,,,,,,,
34,2014HQ178,22-04-2014,03-03-1948,181.6874329,2.566792215,8.14838115,81.6343391,0.45063669,21.92404771,11.47510058,0.628815279,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,181.6876458,2.564472222,5.715,10.092,8.310406069,100.133,21.013,26.03908812,,,,,,,,,,,,,,,,,,,,,,
35,2014HB199,09-05-2014,2-17-59,230.1892555,-24.37245179,16.0753992,112.8563563,0.8304072,21.10764642,10.46931014,0.523982286,ESO-VST/OMEGACAM,OCAM_r_SDSS,180,230.1894792,-24.37193056,5.309,7.801,13.31213954,99.165,20.787,16.98600413,,,,,,,,,,,,,,,,,,,,,,
36,2014HB199,09-05-2014,2-21-44,230.1911349,-24.36832384,9.98051838,115.2736653,0.2647701,21.12976186,11.0300355,0.784910706,ESO-VST/OMEGACAM,OCAM_r_SDSS,180,230.1914167,-24.36773611,5.327,7.813,13.25030402,99.184,20.786,11.4027499,,,,,,,,,,,,,,,,,,,,,,
37,2010MP1  ,18-07-2014,5-19-24,286.8936572,-60.11449845,2.9936928,157.8034255,1.52085003,19.82681544,23.34391914,0.570026623,ESO-VST/OMEGACAM,OCAM_i_SDSS,53,286.8948542,-60.11470833,5.301,2.177,5.326605271,95.472,20.235,9.008622241,,,,,,,,,,,,,,,,,,,,,,
38,2014OU344,22-07-2014,8-56-40,350.989105,-17.33263849,4.67984265,168.9301513,1.17886944,21.13301616,14.95548401,0.917446117,ESO-VST/OMEGACAM,OCAM_g_SDSS,50,350.9886875,-17.33279167,2.1,1.092,5.460103417,92.1,21.182,12.25290282,,,,,,,,,,,,,,,,,,,,,,
39,2014OU344,22-07-2014,8-58-15,350.9858651,-17.3333974,4.57772742,168.2772659,1.37192097,21.1315997,14.88251696,0.943740425,ESO-VST/OMEGACAM,OCAM_g_SDSS,50,350.9859375,-17.33356944,2.1,1.092,5.460103417,92.1,21.182,11.91151487,,,,,,,,,,,,,,,,,,,,,,
40,2017OU18 ,22-07-2014,7-33-32,326.258938,-15.62511856,7.21891737,27.24271076,2.87626038,21.46884189,5.441971409,1.199647549,ESO-VST/OMEGACAM,OCAM_g_SDSS,50,326.2591458,-15.62531944,2.558,1.234,8.320627949,92.827,21.042,6.995360101,,,,,,,,,,,,,,,,,,,,,,
41,2017OU18 ,22-07-2014,7-35-07,326.255134,-15.62305767,8.79530925,32.698243,1.66617948,21.04508603,5.568242073,1.421723432,ESO-VST/OMEGACAM,OCAM_g_SDSS,50,326.2552708,-15.62323611,2.558,1.234,8.320627949,92.826,21.042,5.902671652,,,,,,,,,,,,,,,,,,,,,,
42,2014QE434,21-08-2014,7-56-37,17.53454912,-17.58715378,9.48699066,32.51300575,0.36866235,19.98200452,13.25033636,1.474557013,ESO-VST/OMEGACAM,OCAM_g_SDSS,50,17.51891667,-17.61673611,150.901,73.814,11.49480242,102.095,18.787,32.87429646,,,,,,,,,,,,,,,,,,,,,,
43,2014QE434,21-08-2014,7-58-12,17.53698857,-17.61554857,9.41006682,34.89605181,0.45756333,19.98268278,12.48320453,1.576982402,ESO-VST/OMEGACAM,OCAM_g_SDSS,50,17.5243125,-17.61951389,150.808,73.773,11.62811199,102.196,18.788,30.35872204,,,,,,,,,,,,,,,,,,,,,,
44,2019BP1  ,03-08-2014,9-44-17,34.78778201,-32.83343752,4.91191806,170.1417279,0.35203014,21.95017371,15.48342114,0.754714128,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,34.78752083,-32.83376389,7.547,16.454,6.215525807,108.009,21.967,12.04789345,,,,,,,,,,,,,,,,,,,,,,
45,2019BP1  ,03-08-2014,9-55-30,34.79403251,-32.83250046,4.9945518,172.433158,2.54264094,21.8718189,16.91640074,0.73019349,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,34.79379167,-32.83281944,7.547,16.457,6.067145525,108.011,21.967,12.75701713,,,,,,,,,,,,,,,,,,,,,,
46,2019BP1  ,03-08-2014,9-59-14,34.79615975,-32.832178,4.86998211,168.4504711,0.4951107,21.8677097,17.39197598,0.731155637,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,34.795875,-32.83251389,7.546,16.457,6.067145525,108.012,21.967,12.74022985,,,,,,,,,,,,,,,,,,,,,,
47,2017YL6  ,21-01-2015,3-38-54,110.8489354,-19.20058047,6.48479538,123.8521613,1.13348718,21.08506471,9.463341619,0.978131103,ESO-VST/OMEGACAM,OCAM_g_SDSS,40,110.8487917,-19.20048611,1.06,1.031,6.573452372,91.211,20.688,13.45781473,,,,,,,,,,,,,,,,,,,,,,
48,2017YL6  ,21-01-2015,3-52-43,110.828183,-19.23190544,3.8459904,123.1984164,0.30961224,20.39823775,22.09631107,0.743302658,ESO-VST/OMEGACAM,OCAM_r_SDSS,25,110.8281042,-19.23172222,1.06,1.031,4.077091026,91.211,20.249,23.91524869,,,,,,,,,,,,,,,,,,,,,,
49,2014UB176,30-01-2015,01-01-2028,52.98358578,-28.4257692,8.6942373,174.5997979,0.4494735,21.5416655,15.7168303,0.611937899,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,52.97845833,-28.40997222,101.037,71.556,9.806141538,147.478,22.765,4.516119509,,,,,,,,,,,,,,,,,,,,,,
50,2016AE65 ,30-12-2015,2-18-54,40.42731697,23.60961231,3.86845704,24.74845359,0.99960819,19.87466653,19.27825748,1.73530805,ESO-VST/OMEGACAM,OCAM_r_SDSS,40,40.41304167,23.60866667,62.488,25.714,4.3829424,156.496,19.749,19.10330394,,,,,,,,,,,,,,,,,,,,,,
51,2016AE65 ,30-12-2015,2-20-19,40.42440784,23.60847734,3.8758692,34.84551693,0.5743038,19.98920216,16.96444141,1.771165762,ESO-VST/OMEGACAM,OCAM_r_SDSS,40,40.415375,23.6075,62.465,25.704,4.3829424,156.472,19.749,18.71655258,,,,,,,,,,,,,,,,,,,,,,
52,2015HO10 ,23-04-2015,06-10-2007,198.2056897,-17.70880979,4.29788751,96.80901171,1.32646353,23.37434706,4.504784422,0.728973099,ESO-VST/OMEGACAM,OCAM_g_SDSS,150,198.2056875,-17.70898611,1.137,5.808,4.323503393,95.821,22.949,6.625736869,,,,,,,,,,,,,,,,,,,,,,
53,2015HO10 ,23-04-2015,6-38-16,198.204389,-17.72207691,4.68511323,88.62769006,0.51832389,23.26390594,4.182806269,0.797313581,ESO-VST/OMEGACAM,OCAM_g_SDSS,150,198.2043542,-17.72231944,1.074,5.88,4.323503393,95.883,22.95,6.052245341,,,,,,,,,,,,,,,,,,,,,,
54,2015HO10 ,23-04-2015,7-25-07,198.2023414,-17.74422271,4.6495806,95.14388177,0.28878927,23.57248693,2.672093526,0.946496851,ESO-VST/OMEGACAM,OCAM_g_SDSS,150,198.2023333,-17.74443056,1.054,5.986,4.310473412,95.986,22.952,5.104313648,,,,,,,,,,,,,,,,,,,,,,
55,2015JW   ,24-05-2015,5-53-46,251.8229665,-26.55970504,15.97882419,17.52093478,0.48027273,19.10988279,9.492765584,2.113506989,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,251.8235,-26.56,1.044,0.698,13.20039978,91.047,19.519,7.883231812,,,,,,,,,,,,,,,,,,,,,,
56,2016AW65 ,19-07-2015,03-05-2023,237.145533,1.4908944,9.77373873,114.4762226,0.67098318,21.96034217,7.832659656,0.742785049,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,237.1393125,1.490847222,322.884,37.644,10.08627402,125.061,21.781,8.953173323,,,,,,,,,,,,,,,,,,,,,,
57,2016AW65 ,19-07-2015,03-09-2008,237.1440245,1.487714494,10.18366272,115.4069353,0.7156695,21.82943343,8.159644993,0.772007218,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,237.1378125,1.487708333,322.868,37.653,10.08627402,125.076,21.781,8.614276049,,,,,,,,,,,,,,,,,,,,,,
58,2015RX2  ,03-07-2015,6-30-48,250.3343494,-48.96606168,3.97583571,132.31767,0.4218081,20.51235703,39.92953668,1.240834518,ESO-VST/OMEGACAM,OCAM_r_SDSS,300,250.3401875,-48.96438889,46.494,27.894,4.490288253,143.264,20.051,54.07460114,,,,,,,,,,,,,,,,,,,,,,
59,2015RX2  ,03-07-2015,7-37-43,250.3468225,-48.95395924,3.38073603,124.8037869,0.40951176,20.75748878,49.19281511,0.94508513,ESO-VST/OMEGACAM,OCAM_r_SDSS,300,250.3526458,-48.95231944,46.485,27.892,4.774170139,143.255,20.05,66.83631074,,,,,,,,,,,,,,,,,,,,,,
60,2015RB2  ,14-08-2015,0-21-07,226.5949312,-0.563583658,12.50951604,23.26489398,0.64019151,22.56304355,3.142820968,0.83021855,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,226.5942917,-0.563166667,23.214,12.035,19.31322892,116.062,22.029,3.329071751,,,,,,,,,,,,,,,,,,,,,,
61,2016AX64 ,04-01-2016,05-12-1954,118.6912202,-24.09519031,17.91038802,114.7096456,0.28104678,21.02256709,5.408430965,0.656387988,ESO-VST/OMEGACAM,OCAM_g_SDSS,40,118.6899792,-24.09741667,4.15,8.341,19.20789699,99.197,20.758,6.434632963,,,,,,,,,,,,,,,,,,,,,,
62,2016UA41 ,17-10-2016,4-34-12,30.35201857,-34.92297651,9.88480836,73.4007064,0.63583086,19.33104127,5.921309233,0.933451748,ESO-VST/OMEGACAM,OCAM_i_SDSS,40,30.35220833,-34.92306944,2.373,9.581,9.868151522,99.682,18.968,8.286432949,,,,,,,,,,,,,,,,,,,,,,
63,2016UA41 ,17-10-2016,4-35-37,30.35008479,-34.91731571,9.66279384,72.10118083,0.68179881,19.396516,5.966946596,0.892140211,ESO-VST/OMEGACAM,OCAM_i_SDSS,40,30.35027083,-34.91754167,2.372,9.579,9.819007709,99.68,18.968,8.713539259,,,,,,,,,,,,,,,,,,,,,,
64,2016UA41 ,17-10-2016,4-38-29,30.34623457,-34.9062525,9.87571704,75.08308238,0.51324399,18.93815772,9.414896379,0.843814745,ESO-VST/OMEGACAM,OCAM_i_SDSS,40,30.346375,-34.90636111,2.371,9.576,9.962450423,99.677,18.968,9.079919774,,,,,,,,,,,,,,,,,,,,,,
